	Unnamed: 0	model_name	task	nprocs	time	size
0	0	hello_pysb	import	1	1.787031888961792	12054809
1	1	hello_pysb	import	2	15.872491359710692	12067022
2	2	hello_pysb	import	3	16.68442177772522	12054052
3	3	hello_pysb	import	4	16.014235973358154	12067022
4	4	hello_pysb	import	5	15.72178030014038	12054052
5	5	hello_pysb	import	6	16.097049713134766	12067022
6	6	hello_pysb	import	7	15.62270975112915	12054052
7	7	hello_pysb	import	8	16.196629762649536	12067022
8	8	hello_pysb	import	9	16.08016848564148	12054052
9	9	hello_pysb	import	10	16.345548152923584	12067022
10	10	RTKERK__base	import	1	1376.1798136234283	43516541
11	11	RTKERK__base	import	2	1041.8015067577362	43349758
12	12	RTKERK__base	import	3	927.154144525528	43336620
13	13	RTKERK__base	import	4	878.066201210022	43349758
14	14	RTKERK__base	import	5	837.5367295742035	43336620
15	15	RTKERK__base	import	6	823.1699328422546	43349758
16	16	RTKERK__base	import	7	811.7395029067993	43336620
17	17	RTKERK__base	import	8	789.2430837154388	43349758
18	18	RTKERK__base	import	9	772.3326945304871	43336620
19	19	RTKERK__base	import	10	784.638739824295	43349758
